Poster,Post Count,Mean Votes,Mean Comments,Total Votes,Total Comments,Posts With Comments Count,Conversations Sparked,Is USVer,Ever USVer,Percent Of Posts With Comments,Relation To USV
davewiner,7,3.71,3.57,26,25,5,2,False,False,0.71,Civilian
mfishbein,26,2.42,0.81,63,21,8,2,False,False,0.31,Civilian
kirklove,16,3.75,1.75,60,28,3,2,False,False,0.19,Civilian
ppearlman,11,3.27,3.73,36,41,3,2,False,False,0.27,Civilian
julien51,21,2.24,1.57,47,33,7,2,False,False,0.33,Civilian
jordancooper,7,5.57,6.57,39,46,4,2,False,False,0.57,Civilian
glerouge,4,2.75,5.25,11,21,3,2,False,False,0.75,Civilian
ron_miller,68,2.99,0.53,203,36,12,2,False,False,0.18,Civilian
ebellity,10,4.2,2.2,42,22,6,2,False,False,0.6,Civilian
drewmeyers,22,2.18,0.91,48,20,7,2,False,False,0.32,Civilian
whitneymcn,5,6.0,5.0,30,25,2,2,False,False,0.4,Civilian
databigbang,219,1.31,0.21,286,47,28,2,False,False,0.13,Civilian
christinamchoi,6,5.83,2.0,35,12,3,2,False,False,0.5,Civilian
cammacrae,16,3.44,2.06,55,33,7,2,False,False,0.44,Civilian
ryaneshea,5,4.0,4.8,20,24,4,2,False,False,0.8,Civilian
patrickjmorris,11,3.09,2.73,34,30,5,2,False,False,0.45,Civilian
LonnyLot,21,3.05,1.67,64,35,11,2,False,False,0.52,Civilian
AnujAdhiya,247,1.48,0.21,365,52,26,2,False,False,0.11,Civilian
BenedictEvans,13,4.46,2.08,58,27,5,2,False,False,0.38,Civilian
almccann,24,2.5,1.21,60,29,7,2,False,False,0.29,Civilian
_trendspotter,25,2.2,1.44,55,36,8,2,False,False,0.32,Civilian
ZReitano,3,8.67,13.67,26,41,3,2,False,False,1.0,Civilian
aminTorres,3,2.0,4.67,6,14,2,2,False,False,0.67,Civilian
tomcritchlow,12,3.17,2.92,38,35,7,3,False,False,0.58,Civilian
GeoffreyWeg,10,4.5,3.3,45,33,5,3,False,False,0.5,Civilian
semil,162,2.0,0.38,324,61,23,3,False,False,0.14,Civilian
awaldstein,19,3.26,2.05,62,39,7,3,False,False,0.37,Civilian
bwertz,9,7.11,2.67,64,24,6,3,False,False,0.67,Civilian
msg,26,3.73,1.85,97,48,17,3,False,False,0.65,Civilian
rrhoover,14,3.79,2.43,53,34,9,3,False,False,0.64,Civilian
HarrisonWeber,47,6.0,1.74,282,82,27,4,False,False,0.57,Civilian
samiq,20,3.0,2.95,60,59,8,4,False,False,0.4,Civilian
staysmall,68,2.07,1.16,141,79,20,4,False,False,0.29,Civilian
billmcneely,98,2.31,1.31,226,128,26,4,False,False,0.27,Civilian
moot,10,6.2,3.7,62,37,8,4,False,False,0.8,Civilian
MsPseudolus,15,4.2,6.33,63,95,9,4,False,False,0.6,Civilian
AdrianLurssen,119,2.18,0.71,259,85,30,5,False,False,0.25,Civilian
Burnsey,17,3.88,6.18,66,105,10,5,False,False,0.59,Civilian
bfeld,42,3.98,1.19,167,50,14,6,False,False,0.33,Civilian
EAWharton,47,2.79,1.83,131,86,18,6,False,False,0.38,Civilian
annelibby,31,3.61,2.58,112,80,12,7,False,False,0.39,Civilian
TomLabus,294,1.54,0.47,453,137,55,8,False,False,0.19,Civilian
L1AD,19,4.32,6.79,82,129,17,8,False,False,0.89,Civilian
falicon,58,3.83,4.26,222,247,30,12,False,False,0.52,Civilian
pointsnfigures,574,1.55,0.47,891,267,96,16,False,False,0.17,Civilian
kidmercury,277,1.95,0.94,541,260,81,17,False,False,0.29,Civilian
wmougayar,394,2.38,1.09,936,428,123,30,False,False,0.31,Civilian
